"Nome","PrezzoMedio","TipoCucina","Nazione","Città","Indirizzo","Latitudine","Longitudine","Descrizione","Delivery","Prenotazione","Username"
"ristorante01","15.0","Pizzeria","Italia","Varese","Via Sacco, 7","45.818731","8.8236421","","Sì","Sì","ristoratore01"
"ristorante02","30.0","Moderna","Italia","Legnano","Piazza San Magno,9","45.5953029","8.9192421","Storico ristorante di Legnano.","No","No","ristoratore01"
"La Cucina di Nonna","25.0","ITALIANA","Italia","Milano","Via Verdi 10","45.464211","9.191383","Cucina tradizionale milanese.","Sì","Sì","giulia_bianchi"
"Sushi Zen Garden","35.0","GIAPPONESE","Italia","Roma","Via del Corso 15","41.902782","12.496365","Autentico sushi e sashimi.","Sì","Sì","ristoratore01"
"Pizzeria Bellavista","18.0","PIZZERIA","Italia","Napoli","Lungomare Caracciolo 20","40.829023","14.237277","Pizze napoletane veraci con theknife.vista mare.","Sì","No","roberto_ferrari"
"Mare Nostrum","40.0","PESCE","Italia","Bari","Corso Vittorio Emanuele II 50","41.122709","16.868772","Pesce fresco e specialità pugliesi.","No","Sì","giulia_bianchi"
"Modern Bites","30.0","MODERNA","Italia","Firenze","Piazza della Signoria 5","43.769560","11.255814","Cucina innovativa e ricercata.","No","Sì","ristoratore01"
"El Fuego Loco","22.0","MESSICANA","Italia","Torino","Via Po 8","45.068694","7.683050","Sapori autentici del Messico.","Sì","No","roberto_ferrari"
"The American Diner","20.0","AMERICANA","Italia","Bologna","Via dell'Indipendenza 25","44.493816","11.342621","Hamburger e milkshake stile USA.","Sì","Sì","giulia_bianchi"
"Indian Spice","28.0","INDIANA","Italia","Venezia","Campo San Polo 1200","45.437135","12.334590","Viaggio nei sapori dell'India.","Sì","No","ristoratore01"
"Bistrot Parisien","38.0","FRANCESE","Italia","Verona","Via Mazzini 3","45.438384","10.992290","Eleganza e tradizione francese.","No","Sì","roberto_ferrari"
"La Taverna Greca","23.0","GRECA","Italia","Palermo","Via Maqueda 70","38.115687","13.361280","Specialità greche e atmosfera vivace.","Sì","Sì","giulia_bianchi"
"Thai Orchid","27.0","THAILANDESE","Italia","Genova","Via Roma 5","44.407270","8.933994","Cucina thai autentica e piccante.","Sì","Sì","ristoratore01"
"Sapori di Spagna","32.0","SPAGNOLA","Italia","Catania","Via Etnea 100","37.502019","15.087042","Tapas e paella come in Spagna.","No","Sì","roberto_ferrari"
"Il Giardino Segreto","26.0","VEGETARIANA","Italia","Padova","Prato della Valle 1","45.399670","11.876274","Piatti creativi e sani per vegetariani.","Sì","Sì","giulia_bianchi"
"Vegana Felicità","29.0","VEGANA","Italia","Torino","Piazza Castello 10","45.070312","7.686856","Un'oasi vegana con proposte gustose.","No","Sì","ristoratore01"
"Fusion Delights","33.0","FUSION","Italia","Bologna","Via Zamboni 30","44.494291","11.346482","Incontri di sapori da tutto il mondo.","Sì","Sì","roberto_ferrari"
"El Conquistador","20.0","Messicana","Italia","Varese","Via Cadore, 9","45.8136229","8.8376989","","No","Sì","ristoratore01"
